City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Punta Arenas,CL,51.91,few clouds,-53.15,-70.9167,
3,Atuona,PF,77.63,light rain,-9.8,-139.0333,
5,Makakilo City,US,79.12,light rain,21.3469,-158.0858,
9,Hermanus,ZA,64.9,overcast clouds,-34.4187,19.2345,
10,Rio Grande,BR,84.31,broken clouds,-32.035,-52.0986,
13,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,
14,Victoria,HK,71.33,few clouds,22.2855,114.1577,
16,Grand-Santi,GF,80.02,overcast clouds,4.25,-54.3833,
23,Sur,OM,75.54,broken clouds,22.5667,59.5289,
26,Sechura,PE,75.36,few clouds,-5.5569,-80.8222,
27,Rikitea,PF,74.44,light rain,-23.1203,-134.9692,
28,Miles City,US,65.52,clear sky,46.4083,-105.8406,
29,Joao Camara,BR,83.44,overcast clouds,-5.5375,-35.8197,
30,Huarmey,PE,70.05,broken clouds,-10.0681,-78.1522,
34,Saldanha,ZA,63.1,overcast clouds,-33.0117,17.9442,
36,Sambava,MG,76.57,light rain,-14.2667,50.1667,
37,Lorengau,PG,81.12,overcast clouds,-2.0226,147.2712,
40,Kapaa,US,76.12,light rain,22.0752,-159.319,
43,Butaritari,KI,82.53,overcast clouds,3.0707,172.7902,
44,Dhidhdhoo,MV,81.01,overcast clouds,6.8833,73.1,
48,Taltal,CL,65.28,few clouds,-25.4,-70.4833,
49,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,
50,Biltine,TD,82.29,clear sky,14.5333,20.9167,
51,Hirakata,JP,53.46,few clouds,34.8135,135.6491,
52,Dicamay,PH,73.51,overcast clouds,16.7561,122.0037,
54,Matamoros,MX,75.31,clear sky,25.5333,-103.25,
55,Chuy,UY,76.19,few clouds,-33.6971,-53.4616,
56,Balikpapan,ID,74.32,overcast clouds,-1.2675,116.8289,
57,Cidreira,BR,72.48,scattered clouds,-30.1811,-50.2056,
59,Thohoyandou,ZA,73.2,overcast clouds,-22.9456,30.485,
63,Pundaguitan,PH,81.99,overcast clouds,6.3711,126.1689,
65,Vaini,TO,77.16,few clouds,-21.2,-175.2,
66,Zhuhai,CN,71.06,few clouds,22.2769,113.5678,
69,Lupiro,TZ,83.05,scattered clouds,-8.3833,36.6667,
70,Santa Cruz,BO,74.55,overcast clouds,-17.8,-63.1667,
71,Kruisfontein,ZA,64.89,overcast clouds,-34.0033,24.7314,
72,Port Alfred,ZA,66.09,overcast clouds,-33.5906,26.891,
74,Noumea,NC,79.0,clear sky,-22.2763,166.4572,
75,Saint George,US,78.35,clear sky,37.1041,-113.5841,
76,Kaihua,CN,54.9,overcast clouds,23.3687,104.28,
77,Comodoro Rivadavia,AR,58.86,few clouds,-45.8667,-67.5,
78,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,
79,Fortuna,US,61.66,overcast clouds,40.5982,-124.1573,
81,Tura,IN,60.67,clear sky,25.5198,90.2201,
83,Dunedin,NZ,54.81,few clouds,-45.8742,170.5036,
84,Am Timan,TD,84.54,overcast clouds,11.0297,20.2827,
85,Karratha,AU,77.81,broken clouds,-20.7377,116.8463,
87,Laguna,US,76.64,mist,38.421,-121.4238,
88,Auki,SB,77.86,overcast clouds,-8.7676,160.7034,
91,Busselton,AU,60.08,overcast clouds,-33.65,115.3333,
93,Bobo Dioulasso,BF,82.85,clear sky,11.1771,-4.2979,
94,Mar Del Plata,AR,69.82,scattered clouds,-38.0023,-57.5575,
100,Kyabe,TD,83.91,few clouds,9.4515,18.9449,
101,Satwas,IN,64.24,few clouds,22.5333,76.6833,
102,Tecoanapa,MX,83.48,clear sky,16.5167,-98.75,
105,Bredasdorp,ZA,62.73,overcast clouds,-34.5322,20.0403,
106,Cape Town,ZA,69.1,overcast clouds,-33.9258,18.4232,
107,Halifax,CA,52.29,mist,44.6453,-63.5724,
108,Soubre,CI,78.62,broken clouds,5.7856,-6.6083,
110,Rojhan,PK,68.59,clear sky,28.6868,69.9534,
112,Airai,TL,59.85,overcast clouds,-8.9266,125.4092,
113,Lebu,CL,56.35,clear sky,-37.6167,-73.65,
114,Kupang,ID,79.63,overcast clouds,-10.1667,123.5833,
117,Montecristi,EC,73.22,overcast clouds,-1.05,-80.6667,
118,Acarau,BR,84.38,clear sky,-2.8856,-40.12,
119,George,ZA,63.95,overcast clouds,-33.963,22.4617,
121,Faanui,PF,78.82,overcast clouds,-16.4833,-151.75,
122,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,
123,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,
125,Faya,SA,59.52,clear sky,18.3851,42.4509,
126,Ahipara,NZ,64.04,clear sky,-35.1667,173.1667,
127,Kochi,IN,75.18,moderate rain,9.9399,76.2602,
128,Bharatpur,IN,65.64,clear sky,27.2167,77.4833,
130,Salalah,OM,77.09,clear sky,17.0151,54.0924,
132,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,
135,San-Pedro,CI,79.54,broken clouds,4.7485,-6.6363,
136,Adrar,MR,78.69,overcast clouds,20.5022,-10.0711,
137,Port Shepstone,ZA,71.62,overcast clouds,-30.7414,30.455,
138,Hilo,US,76.8,moderate rain,19.7297,-155.09,
139,Langsa,ID,75.43,overcast clouds,4.4683,97.9683,
141,Brokopondo,SR,81.45,overcast clouds,4.75,-55.1667,
142,Avarua,CK,75.25,few clouds,-21.2078,-159.775,
143,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,
146,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,
148,Lagoa,PT,66.69,clear sky,39.05,-27.9833,
149,Witu,KE,80.76,broken clouds,-2.3889,40.4382,
151,Carnarvon,AU,68.07,broken clouds,-24.8667,113.6333,
152,Gamba,GA,78.3,overcast clouds,-2.65,10.0,
153,Kijang,KR,53.58,overcast clouds,35.2442,129.2139,
154,Itarema,BR,84.22,clear sky,-2.9248,-39.9167,
155,Corralillo,CU,76.35,overcast clouds,22.9819,-80.5856,
157,Mahajanga,MG,82.42,light rain,-15.7167,46.3167,
159,Castro,BR,77.86,broken clouds,-24.7911,-50.0119,
161,Plettenberg Bay,ZA,63.55,broken clouds,-34.0527,23.3716,
162,Kasempa,ZM,69.28,broken clouds,-13.4584,25.8338,
163,Aswan,EG,77.76,clear sky,24.0934,32.907,
164,Middelburg,ZA,71.17,few clouds,-25.7751,29.4648,
165,Jalu,LY,75.0,overcast clouds,29.0331,21.5482,
166,Ngorongoro,TZ,59.05,broken clouds,-3.2397,35.4875,
167,Larap,PH,78.28,overcast clouds,14.299000000000001,122.6504,
168,Simao,CN,60.28,overcast clouds,22.7886,100.9748,
170,Acari,PE,77.31,overcast clouds,-15.4311,-74.6158,
171,Guerrero Negro,MX,84.76,clear sky,27.9769,-114.0611,
173,Rawson,AR,54.39,broken clouds,-43.3002,-65.1023,
174,Saint-Joseph,RE,73.78,scattered clouds,-21.3667,55.6167,
175,Katsuura,JP,58.19,scattered clouds,35.1333,140.3,
181,Hualmay,PE,68.85,few clouds,-11.0964,-77.6139,
183,San Quintin,MX,77.5,clear sky,30.4833,-115.95,
184,Tonj,SS,79.3,few clouds,7.2737,28.6822,
185,Marsh Harbour,BS,75.07,overcast clouds,26.5412,-77.0636,
188,Rocha,UY,75.2,scattered clouds,-34.4833,-54.3333,
189,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,
190,Ca Mau,VN,74.61,overcast clouds,9.1769,105.15,
191,Gunjur,GM,82.47,clear sky,13.2019,-16.7339,
193,Charters Towers,AU,74.32,clear sky,-20.1,146.2667,
194,Pontal Do Parana,BR,83.73,few clouds,-25.6533,-48.5128,
196,Tessalit,ML,79.43,broken clouds,20.1986,1.0114,
197,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,
198,Perni,GR,54.77,few clouds,41.0011,24.6356,
200,Kandrian,PG,77.25,overcast clouds,-6.2167,149.55,
201,Sibolga,ID,75.88,overcast clouds,1.7427,98.7792,
202,Rio Gallegos,AR,55.45,broken clouds,-51.6226,-69.2181,
203,Buraydah,SA,70.25,overcast clouds,26.326,43.975,
205,Joao Pinheiro,BR,76.44,overcast clouds,-17.7425,-46.1725,
206,Lardos,GR,64.22,few clouds,36.0942,28.0157,
209,Ponta Do Sol,PT,69.01,overcast clouds,32.6667,-17.1,
210,Prado,BR,75.16,broken clouds,-17.3411,-39.2208,
211,Isangel,VU,73.51,clear sky,-19.55,169.2667,
213,Bowen,AU,76.37,scattered clouds,-20.0167,148.2333,
214,Tadine,NC,76.55,clear sky,-21.55,167.8833,
215,Celestun,MX,79.56,clear sky,20.8667,-90.4,
216,Georgetown,MY,81.9,few clouds,5.4112,100.3354,
217,Mazarron,ES,58.71,clear sky,37.5992,-1.3149,
219,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,
220,East London,ZA,69.98,overcast clouds,-33.0153,27.9116,
221,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,
223,Bandarbeyla,SO,78.51,overcast clouds,9.4942,50.8122,
227,Libreville,GA,82.42,scattered clouds,0.3925,9.4537,
228,Boda,CF,72.1,light rain,4.3189,17.4695,
229,Meulaboh,ID,76.57,overcast clouds,4.1363,96.1285,
232,Coihaique,CL,57.81,scattered clouds,-45.5752,-72.0662,
235,Kindia,GN,74.32,broken clouds,10.0569,-12.8658,
237,Port Lincoln,AU,54.91,overcast clouds,-34.7333,135.8667,
245,Najran,SA,63.25,clear sky,17.4924,44.1277,
246,Kavaratti,IN,80.53,overcast clouds,10.5669,72.642,
247,Port Hawkesbury,CA,50.18,mist,45.6169,-61.3485,
253,Merauke,ID,77.22,overcast clouds,-8.4667,140.3333,
254,Esperance,AU,67.17,overcast clouds,-33.8667,121.9,
255,Sola,VU,80.13,scattered clouds,-13.8833,167.55,
256,Riyadh,SA,68.14,clear sky,24.6877,46.7219,
260,Brownwood,US,81.55,clear sky,31.7093,-98.9912,
262,Maragogi,BR,82.0,clear sky,-9.0122,-35.2225,
263,Ancud,CL,56.73,light rain,-41.8697,-73.8203,
269,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,
270,Yenagoa,NG,77.79,overcast clouds,4.9247,6.2642,
271,Mareeba,AU,74.44,broken clouds,-17.0,145.4333,
272,Mogadishu,SO,79.79,scattered clouds,2.0371,45.3438,
274,Ambon,ID,79.7,light rain,-3.6954,128.1814,
276,Ardakan,IR,55.78,overcast clouds,32.31,54.0175,
277,Port Elizabeth,ZA,67.1,overcast clouds,-33.918,25.5701,
278,Ixtapa,MX,83.43,scattered clouds,20.7,-105.2,
280,Benghazi,LY,70.48,few clouds,32.1167,20.0667,
284,Kahului,US,83.46,few clouds,20.8947,-156.47,
285,Kandete,TZ,64.81,broken clouds,-9.15,33.8,
286,Pangkalanbuun,ID,73.6,overcast clouds,-2.6833,111.6167,
288,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,
291,Redondela,ES,59.25,few clouds,42.2834,-8.6096,
292,Gazanjyk,TM,51.96,overcast clouds,39.2446,55.5154,
293,Soyo,AO,79.03,overcast clouds,-6.1349,12.3689,
294,Porto Novo,BJ,81.27,overcast clouds,6.4965,2.6036,
295,Cap Malheureux,MU,75.69,scattered clouds,-19.9842,57.6142,
299,Yaan,NG,84.58,broken clouds,7.3833,8.5667,
300,Namatanai,PG,78.91,moderate rain,-3.6667,152.4333,
302,Lima,PE,68.14,scattered clouds,-12.0432,-77.0282,
304,Broken Hill,AU,51.48,clear sky,-31.95,141.4333,
305,Lhokseumawe,ID,76.6,overcast clouds,5.1801,97.1507,
306,Morondava,MG,78.42,broken clouds,-20.2833,44.2833,
307,Praia Da Vitoria,PT,68.25,few clouds,38.7333,-27.0667,
313,Madera,US,84.97,overcast clouds,37.1666,-119.8343,
314,Hasaki,JP,52.29,overcast clouds,35.7333,140.8333,
315,Roseto Degli Abruzzi,IT,63.09,light rain,42.6664,14.0227,
316,Chibombo,ZM,75.67,few clouds,-14.6569,28.0706,
317,Jishou,CN,57.2,overcast clouds,28.3167,109.7167,
318,Portland,US,63.63,light rain,45.5234,-122.6762,
321,Manado,ID,75.97,scattered clouds,1.4869999999999999,124.8455,
322,Vila Franca Do Campo,PT,69.19,scattered clouds,37.7167,-25.4333,
323,Bereda,ES,54.91,overcast clouds,43.2686,-7.5406,
324,Geraldton,AU,64.81,overcast clouds,-28.7667,114.6,
326,Palakkad,IN,73.08,light rain,10.7833,76.65,
327,Biak,ID,76.46,overcast clouds,-0.9131,122.8766,
330,Maumere,ID,79.84,broken clouds,-8.6199,122.2111,
334,Sterling,US,51.69,broken clouds,39.0062,-77.4286,
335,Canton,CN,69.01,clear sky,23.1167,113.25,
340,Riacho De Santana,BR,73.99,overcast clouds,-13.6092,-42.9389,
342,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,
343,Isabela,PH,77.07,overcast clouds,6.7085,121.9711,
344,Jatiroto,ID,72.99,overcast clouds,-7.8833,111.1167,
345,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,
351,Vilhena,BR,78.42,moderate rain,-12.7406,-60.1458,
352,Suluq,LY,67.3,clear sky,31.6682,20.2521,
353,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,
354,Pyapon,MM,76.03,broken clouds,16.2833,95.6833,
355,Bonthe,SL,80.83,overcast clouds,7.5264,-12.505,
356,Camaqua,BR,81.93,clear sky,-30.8511,-51.8122,
359,Nola,IT,61.21,overcast clouds,40.922,14.5329,
360,Sorong,ID,77.67,overcast clouds,-0.8833,131.25,
361,Ikom,NG,77.68,light rain,5.9667,8.7063,
362,Olot,ES,54.21,light rain,42.181000000000004,2.4901,
364,Ostuni,IT,61.77,overcast clouds,40.7276,17.5764,
365,Sinnamary,GF,82.2,overcast clouds,5.3833,-52.95,
366,Piacabucu,BR,82.27,few clouds,-10.4056,-36.4344,
367,Cervo,ES,57.96,overcast clouds,43.6702,-7.4101,
369,Teahupoo,PF,76.96,overcast clouds,-17.8333,-149.2667,
371,Quatre Cocos,MU,75.31,broken clouds,-20.2078,57.7625,
373,Pasco,US,75.06,clear sky,28.291999999999998,-82.4165,
374,Kahama,TZ,74.75,scattered clouds,-3.8333,32.6,
380,Ormara,PK,77.36,broken clouds,25.2088,64.6357,
382,Port Blair,IN,79.81,broken clouds,11.6667,92.75,
383,Hithadhoo,MV,82.35,few clouds,-0.6,73.0833,
384,Necochea,AR,66.85,scattered clouds,-38.5473,-58.7368,
385,Nishihara,JP,67.28,scattered clouds,26.1842,127.7558,
386,Vannes,FR,52.29,few clouds,47.8333,-2.5,
387,Fernley,US,69.46,overcast clouds,39.608000000000004,-119.2518,
388,Namwala,ZM,77.72,clear sky,-15.7504,26.4384,
389,Dekar,BW,84.6,scattered clouds,-21.5333,21.9333,
390,Qui Nhon,VN,76.1,overcast clouds,13.7667,109.2333,
393,Kiunga,PG,72.68,overcast clouds,-6.1219,141.2906,
395,Alappuzha,IN,77.4,light rain,9.49,76.3264,
396,Lata,PT,54.05,clear sky,40.1629,-8.3327,
397,Sibu,MY,75.51,scattered clouds,2.3,111.8167,
398,Caravelas,BR,76.42,overcast clouds,-17.7125,-39.2481,
399,Port-Gentil,GA,79.81,few clouds,-0.7193,8.7815,
400,Timizart,DZ,51.13,overcast clouds,36.8,4.2667,
402,Kutum,SD,72.39,clear sky,14.2,24.6667,
403,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,
405,Korem,ET,54.34,clear sky,12.5058,39.5228,
409,Copiapo,CL,60.49,clear sky,-27.3667,-70.3333,
410,Mitsamiouli,KM,80.06,clear sky,-11.3847,43.2844,
413,Bumba,CD,72.28,light rain,2.1833,22.4667,
415,Ikalamavony,MG,76.01,overcast clouds,-21.15,46.5833,
417,San Ignacio,BZ,75.34,overcast clouds,17.1561,-89.0714,
418,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,
420,Pisco,PE,71.65,clear sky,-13.7,-76.2167,
421,Mecca,SA,78.94,clear sky,21.4267,39.8261,
422,Gondanglegi,ID,74.23,overcast clouds,-7.7479,112.0132,
423,Kirya,TZ,75.92,scattered clouds,-3.9167,37.4833,
424,Tsiroanomandidy,MG,67.69,light rain,-18.7667,46.0333,
425,Mabaruma,GY,82.08,broken clouds,8.2,-59.7833,
427,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,
428,Moroni,KM,78.84,clear sky,-11.7022,43.2551,
429,Durg,IN,73.38,few clouds,21.1833,81.2833,
430,Northam,GB,52.02,broken clouds,51.0333,-4.2167,
432,Petauke,ZM,69.57,scattered clouds,-14.2426,31.3253,
433,Gusau,NG,84.09,overcast clouds,12.1628,6.6614,
434,Caconda,AO,62.78,moderate rain,-13.7333,15.0667,
436,Rolla,US,65.86,clear sky,37.9514,-91.7713,
437,Penzance,GB,53.76,overcast clouds,50.1186,-5.5371,
438,Siocon,PH,78.12,overcast clouds,7.7061,122.1353,
439,Abong Mbang,CM,69.73,broken clouds,3.9833,13.1833,
440,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,
441,Abapo,BO,75.36,overcast clouds,-18.8333,-63.4667,
442,Turayf,SA,55.65,scattered clouds,31.6725,38.6637,
443,Pemangkat,ID,77.81,overcast clouds,1.1667,108.9667,
