City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Lapeer,US,43.0514,-83.3188,2021-11-15 19:18:46,41.23,60,90,12.66,overcast clouds
1,Albany,US,42.6001,-73.9662,2021-11-15 19:06:11,45.18,79,100,1.01,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,2021-11-15 19:10:46,51.91,37,20,26.46,few clouds
3,Atuona,PF,-9.8,-139.0333,2021-11-15 19:10:37,77.63,75,6,11.3,light rain
4,Saint Anthony,US,45.0205,-93.218,2021-11-15 19:16:20,35.89,71,90,1.99,light rain
5,Makakilo City,US,21.3469,-158.0858,2021-11-15 19:18:47,79.12,68,90,4.61,light rain
6,Noyabrsk,RU,63.1994,75.4507,2021-11-15 19:14:50,7.48,95,100,11.97,overcast clouds
7,Provost,CA,52.3501,-110.2683,2021-11-15 19:18:48,34.25,85,100,6.76,overcast clouds
8,Priiskovyy,RU,51.9333,116.6333,2021-11-15 19:18:48,19.51,84,13,4.54,few clouds
9,Hermanus,ZA,-34.4187,19.2345,2021-11-15 19:10:41,64.9,88,100,8.9,overcast clouds
10,Rio Grande,BR,-32.035,-52.0986,2021-11-15 19:18:48,84.31,76,80,14.7,broken clouds
11,Yellowknife,CA,62.456,-114.3525,2021-11-15 19:18:49,15.3,99,40,2.3,scattered clouds
12,Chokurdakh,RU,70.6333,147.9167,2021-11-15 19:10:56,5.99,96,100,2.75,overcast clouds
13,Bambous Virieux,MU,-20.3428,57.7575,2021-11-15 19:11:05,75.45,83,40,2.3,scattered clouds
14,Victoria,HK,22.2855,114.1577,2021-11-15 19:18:49,71.33,79,21,3.0,few clouds
15,Pochutla,MX,15.7432,-96.4661,2021-11-15 19:18:49,88.83,46,4,7.56,clear sky
16,Grand-Santi,GF,4.25,-54.3833,2021-11-15 19:18:50,80.02,83,87,3.36,overcast clouds
17,Sobolevo,RU,54.4299,31.8996,2021-11-15 19:18:50,27.28,81,47,5.57,scattered clouds
18,Port Macquarie,AU,-31.4333,152.9167,2021-11-15 19:18:51,48.16,64,0,9.89,clear sky
19,Dauphin,CA,51.1494,-100.0502,2021-11-15 19:18:51,28.54,93,90,3.44,overcast clouds
20,Jamestown,US,42.097,-79.2353,2021-11-15 19:10:48,40.59,88,40,8.01,scattered clouds
21,Lavrentiya,RU,65.5833,-171.0,2021-11-15 19:18:52,15.22,88,100,7.92,overcast clouds
22,Oksfjord,NO,70.2396,22.3479,2021-11-15 19:18:52,42.98,92,99,13.09,overcast clouds
23,Sur,OM,22.5667,59.5289,2021-11-15 19:18:53,75.54,49,54,3.69,broken clouds
24,Aberdeen,GB,57.1437,-2.0981,2021-11-15 19:18:53,46.2,93,69,6.91,broken clouds
25,Kodiak,US,57.79,-152.4072,2021-11-15 19:10:39,17.11,79,1,8.05,clear sky
26,Sechura,PE,-5.5569,-80.8222,2021-11-15 19:13:46,75.36,56,23,15.77,few clouds
27,Rikitea,PF,-23.1203,-134.9692,2021-11-15 19:10:42,74.44,82,100,13.42,light rain
28,Miles City,US,46.4083,-105.8406,2021-11-15 19:13:51,65.52,44,1,8.05,clear sky
29,Joao Camara,BR,-5.5375,-35.8197,2021-11-15 19:18:53,83.44,47,100,16.82,overcast clouds
30,Huarmey,PE,-10.0681,-78.1522,2021-11-15 19:18:54,70.05,72,55,11.21,broken clouds
31,Longyearbyen,SJ,78.2186,15.6401,2021-11-15 19:13:25,19.24,68,40,28.77,scattered clouds
32,Santa Teresa,VE,10.2341,-66.6631,2021-11-15 19:18:54,89.42,41,19,8.28,few clouds
33,Lompoc,US,34.6391,-120.4579,2021-11-15 19:12:06,86.09,47,1,3.44,clear sky
